章节	类型	实体	说明	上下文
117_司马相如列传	unknown_bio	角湲	标注了〖+角湲〗但不在词表内	裂地，涉冰揭河；兽则〖+麒麟〗〖+角湲〗，〖+騊駼〗〖+橐扆〗，〖+蛩
117_司马相如列传	unknown_bio	騊駼	标注了〖+騊駼〗但不在词表内	河；兽则〖+麒麟〗〖+角湲〗，〖+騊駼〗〖+橐扆〗，〖+蛩蛩〗〖+驒騱
117_司马相如列传	unknown_bio	橐扆	标注了〖+橐扆〗但不在词表内	+麒麟〗〖+角湲〗，〖+騊駼〗〖+橐扆〗，〖+蛩蛩〗〖+驒騱〗，〖+駃
117_司马相如列传	unknown_bio	蛩蛩	标注了〖+蛩蛩〗但不在词表内	角湲〗，〖+騊駼〗〖+橐扆〗，〖+蛩蛩〗〖+驒騱〗，〖+駃騠〗〖+驴〗
117_司马相如列传	unknown_bio	驒騱	标注了〖+驒騱〗但不在词表内	+騊駼〗〖+橐扆〗，〖+蛩蛩〗〖+驒騱〗，〖+駃騠〗〖+驴〗〖+骡〗。
117_司马相如列传	unknown_bio	駃騠	标注了〖+駃騠〗但不在词表内	橐扆〗，〖+蛩蛩〗〖+驒騱〗，〖+駃騠〗〖+驴〗〖+骡〗。↵↵[2.1
117_司马相如列传	unknown_bio	卢橘	标注了〖+卢橘〗但不在词表内	焉。↵↵[2.16] "於是乎〖+卢橘〗〖%夏〗孰，〖+黄甘〗〖+橙楱
117_司马相如列传	unknown_bio	黄甘	标注了〖+黄甘〗但不在词表内	"於是乎〖+卢橘〗〖%夏〗孰，〖+黄甘〗〖+橙楱〗，〖+枇杷〗〖+橪〗
117_司马相如列传	unknown_bio	橙楱	标注了〖+橙楱〗但不在词表内	+卢橘〗〖%夏〗孰，〖+黄甘〗〖+橙楱〗，〖+枇杷〗〖+橪〗〖+柿〗，
117_司马相如列传	unknown_bio	枇杷	标注了〖+枇杷〗但不在词表内	夏〗孰，〖+黄甘〗〖+橙楱〗，〖+枇杷〗〖+橪〗〖+柿〗，〖+楟〗〖+
117_司马相如列传	unknown_bio	橪	标注了〖+橪〗但不在词表内	+黄甘〗〖+橙楱〗，〖+枇杷〗〖+橪〗〖+柿〗，〖+楟〗〖+柰〗〖+
117_司马相如列传	unknown_bio	柿	标注了〖+柿〗但不在词表内	〖+橙楱〗，〖+枇杷〗〖+橪〗〖+柿〗，〖+楟〗〖+柰〗〖+厚朴〗，
117_司马相如列传	unknown_bio	楟	标注了〖+楟〗但不在词表内	，〖+枇杷〗〖+橪〗〖+柿〗，〖+楟〗〖+柰〗〖+厚朴〗，〖+甹枣〗
117_司马相如列传	unknown_bio	柰	标注了〖+柰〗但不在词表内	杷〗〖+橪〗〖+柿〗，〖+楟〗〖+柰〗〖+厚朴〗，〖+甹枣〗〖+杨梅
117_司马相如列传	unknown_bio	厚朴	标注了〖+厚朴〗但不在词表内	橪〗〖+柿〗，〖+楟〗〖+柰〗〖+厚朴〗，〖+甹枣〗〖+杨梅〗，〖+樱
117_司马相如列传	unknown_bio	甹枣	标注了〖+甹枣〗但不在词表内	，〖+楟〗〖+柰〗〖+厚朴〗，〖+甹枣〗〖+杨梅〗，〖+樱桃〗〖+蒲陶
117_司马相如列传	unknown_bio	杨梅	标注了〖+杨梅〗但不在词表内	〖+柰〗〖+厚朴〗，〖+甹枣〗〖+杨梅〗，〖+樱桃〗〖+蒲陶〗，〖+隐
117_司马相如列传	unknown_bio	樱桃	标注了〖+樱桃〗但不在词表内	厚朴〗，〖+甹枣〗〖+杨梅〗，〖+樱桃〗〖+蒲陶〗，〖+隐夫〗〖+郁棣
117_司马相如列传	unknown_bio	蒲陶	标注了〖+蒲陶〗但不在词表内	+甹枣〗〖+杨梅〗，〖+樱桃〗〖+蒲陶〗，〖+隐夫〗〖+郁棣〗，〖+榙
117_司马相如列传	unknown_bio	隐夫	标注了〖+隐夫〗但不在词表内	杨梅〗，〖+樱桃〗〖+蒲陶〗，〖+隐夫〗〖+郁棣〗，〖+榙〗〖+濛〗〖
117_司马相如列传	unknown_bio	郁棣	标注了〖+郁棣〗但不在词表内	+樱桃〗〖+蒲陶〗，〖+隐夫〗〖+郁棣〗，〖+榙〗〖+濛〗〖+荔枝〗，
117_司马相如列传	unknown_bio	榙	标注了〖+榙〗但不在词表内	蒲陶〗，〖+隐夫〗〖+郁棣〗，〖+榙〗〖+濛〗〖+荔枝〗，罗乎後宫，
117_司马相如列传	unknown_bio	濛	标注了〖+濛〗但不在词表内	〖+隐夫〗〖+郁棣〗，〖+榙〗〖+濛〗〖+荔枝〗，罗乎後宫，列乎北园
117_司马相如列传	unknown_bio	荔枝	标注了〖+荔枝〗但不在词表内	〗〖+郁棣〗，〖+榙〗〖+濛〗〖+荔枝〗，罗乎後宫，列乎北园。崒丘陵，
117_司马相如列传	unknown_bio	沙棠	标注了〖+沙棠〗但不在词表内	荣，煌煌扈扈，照曜〖=钜野〗。〖+沙棠〗〖+栎〗〖+櫧〗，〖+华氾〗〖
117_司马相如列传	unknown_bio	栎	标注了〖+栎〗但不在词表内	扈，照曜〖=钜野〗。〖+沙棠〗〖+栎〗〖+櫧〗，〖+华氾〗〖+弇栌〗
117_司马相如列传	unknown_bio	櫧	标注了〖+櫧〗但不在词表内	〖=钜野〗。〖+沙棠〗〖+栎〗〖+櫧〗，〖+华氾〗〖+弇栌〗，〖+留
117_司马相如列传	unknown_bio	华氾	标注了〖+华氾〗但不在词表内	。〖+沙棠〗〖+栎〗〖+櫧〗，〖+华氾〗〖+弇栌〗，〖+留落〗〖+胥馀
117_司马相如列传	unknown_bio	弇栌	标注了〖+弇栌〗但不在词表内	〗〖+栎〗〖+櫧〗，〖+华氾〗〖+弇栌〗，〖+留落〗〖+胥馀〗，〖+仁
117_司马相如列传	unknown_bio	留落	标注了〖+留落〗但不在词表内	+櫧〗，〖+华氾〗〖+弇栌〗，〖+留落〗〖+胥馀〗，〖+仁频〗〖+并闾
117_司马相如列传	unknown_bio	胥馀	标注了〖+胥馀〗但不在词表内	+华氾〗〖+弇栌〗，〖+留落〗〖+胥馀〗，〖+仁频〗〖+并闾〗，〖+欃
117_司马相如列传	unknown_bio	仁频	标注了〖+仁频〗但不在词表内	弇栌〗，〖+留落〗〖+胥馀〗，〖+仁频〗〖+并闾〗，〖+欃檀〗〖+木兰
117_司马相如列传	unknown_bio	并闾	标注了〖+并闾〗但不在词表内	+留落〗〖+胥馀〗，〖+仁频〗〖+并闾〗，〖+欃檀〗〖+木兰〗，〖+豫
117_司马相如列传	unknown_bio	欃檀	标注了〖+欃檀〗但不在词表内	胥馀〗，〖+仁频〗〖+并闾〗，〖+欃檀〗〖+木兰〗，〖+豫章〗〖+女贞
117_司马相如列传	unknown_bio	木兰	标注了〖+木兰〗但不在词表内	+仁频〗〖+并闾〗，〖+欃檀〗〖+木兰〗，〖+豫章〗〖+女贞〗，长千仞
117_司马相如列传	unknown_bio	豫章	标注了〖+豫章〗但不在词表内	并闾〗，〖+欃檀〗〖+木兰〗，〖+豫章〗〖+女贞〗，长千仞，大连抱，夸
117_司马相如列传	unknown_bio	女贞	标注了〖+女贞〗但不在词表内	+欃檀〗〖+木兰〗，〖+豫章〗〖+女贞〗，长千仞，大连抱，夸条直暢，实
117_司马相如列传	unknown_bio	玄猿	标注了〖+玄猿〗但不在词表内	无穷。↵↵[2.17] "於是〖+玄猿〗〖+素雌〗，〖+蜼〗〖+玃〗〖
117_司马相如列传	unknown_bio	素雌	标注了〖+素雌〗但不在词表内	[2.17] "於是〖+玄猿〗〖+素雌〗，〖+蜼〗〖+玃〗〖+飞鸓〗，
117_司马相如列传	unknown_bio	蜼	标注了〖+蜼〗但不在词表内	 "於是〖+玄猿〗〖+素雌〗，〖+蜼〗〖+玃〗〖+飞鸓〗，〖+蛭蜩〗
117_司马相如列传	unknown_bio	玃	标注了〖+玃〗但不在词表内	〖+玄猿〗〖+素雌〗，〖+蜼〗〖+玃〗〖+飞鸓〗，〖+蛭蜩〗〖+蠗蝚
117_司马相如列传	unknown_bio	飞鸓	标注了〖+飞鸓〗但不在词表内	〗〖+素雌〗，〖+蜼〗〖+玃〗〖+飞鸓〗，〖+蛭蜩〗〖+蠗蝚〗，〖+螹
117_司马相如列传	unknown_bio	蛭蜩	标注了〖+蛭蜩〗但不在词表内	，〖+蜼〗〖+玃〗〖+飞鸓〗，〖+蛭蜩〗〖+蠗蝚〗，〖+螹胡〗〖+蛫〗
117_司马相如列传	unknown_bio	蠗蝚	标注了〖+蠗蝚〗但不在词表内	〖+玃〗〖+飞鸓〗，〖+蛭蜩〗〖+蠗蝚〗，〖+螹胡〗〖+蛫〗，栖息乎其
117_司马相如列传	unknown_bio	螹胡	标注了〖+螹胡〗但不在词表内	飞鸓〗，〖+蛭蜩〗〖+蠗蝚〗，〖+螹胡〗〖+蛫〗，栖息乎其间；长啸哀鸣
117_司马相如列传	unknown_bio	蛫	标注了〖+蛫〗但不在词表内	+蛭蜩〗〖+蠗蝚〗，〖+螹胡〗〖+蛫〗，栖息乎其间；长啸哀鸣，翩幡互
117_司马相如列传	unknown_bio	貔	标注了〖+貔〗但不在词表内	雨施。"↵↵[2.20] "生〖+貔〗〖+豹〗，搏〖+豺〗〖+狼〗，
117_司马相如列传	unknown_bio	野羊	标注了〖+野羊〗但不在词表内	+狼〗，手〖+熊〗〖+罴〗，足〖+野羊〗，蒙〖+鹖〗苏，绔〖+白虎〗，
117_司马相如列传	unknown_bio	鹖	标注了〖+鹖〗但不在词表内	熊〗〖+罴〗，足〖+野羊〗，蒙〖+鹖〗苏，绔〖+白虎〗，被〖+豳〗文
117_司马相如列传	unknown_bio	白虎	标注了〖+白虎〗但不在词表内	足〖+野羊〗，蒙〖+鹖〗苏，绔〖+白虎〗，被〖+豳〗文，跨〖+野马〗。
117_司马相如列传	unknown_bio	豳	标注了〖+豳〗但不在词表内	蒙〖+鹖〗苏，绔〖+白虎〗，被〖+豳〗文，跨〖+野马〗。陵三颙之危，
117_司马相如列传	unknown_bio	野马	标注了〖+野马〗但不在词表内	绔〖+白虎〗，被〖+豳〗文，跨〖+野马〗。陵三颙之危，下碛历之坻；俓鷟
117_司马相如列传	unknown_bio	解豸	标注了〖+解豸〗但不在词表内	赴险，越壑厉水。推〚蜚廉〛，弄〖+解豸〗，格〖+瑕蛤〗，鋋〖+猛氏〗，
117_司马相如列传	unknown_bio	瑕蛤	标注了〖+瑕蛤〗但不在词表内	。推〚蜚廉〛，弄〖+解豸〗，格〖+瑕蛤〗，鋋〖+猛氏〗，罥〖+騕褭〗，
117_司马相如列传	unknown_bio	猛氏	标注了〖+猛氏〗但不在词表内	弄〖+解豸〗，格〖+瑕蛤〗，鋋〖+猛氏〗，罥〖+騕褭〗，射〖+封豕〗。
117_司马相如列传	unknown_bio	騕褭	标注了〖+騕褭〗但不在词表内	格〖+瑕蛤〗，鋋〖+猛氏〗，罥〖+騕褭〗，射〖+封豕〗。箭不苟害，解脰
117_司马相如列传	unknown_bio	封豕	标注了〖+封豕〗但不在词表内	鋋〖+猛氏〗，罥〖+騕褭〗，射〖+封豕〗。箭不苟害，解脰陷脑；弓不虚发
117_司马相如列传	unknown_bio	狡兔	标注了〖+狡兔〗但不在词表内	禽，槅履狡兽，轊〖+白鹿〗，捷〖+狡兔〗，轶〖+赤电〗，遗光燿，追怪物
117_司马相如列传	unknown_bio	赤电	标注了〖+赤电〗但不在词表内	轊〖+白鹿〗，捷〖+狡兔〗，轶〖+赤电〗，遗光燿，追怪物，出宇宙，弯〖
117_司马相如列传	unknown_bio	游枭	标注了〖+游枭〗但不在词表内	弯〖*繁弱〗，满〖*白羽〗，射〖+游枭〗，栎〖+蜚虡〗，择肉後发，先中
117_司马相如列传	unknown_bio	蜚虡	标注了〖+蜚虡〗但不在词表内	满〖*白羽〗，射〖+游枭〗，栎〖+蜚虡〗，择肉後发，先中命处，弦矢分，
117_司马相如列传	unknown_bio	玄鹤	标注了〖+玄鹤〗但不在词表内	风，历骇梠，乘虚无，与神俱，辚〖+玄鹤〗，乱〖+昆鸡〗。遒〖+孔鸾〗，
117_司马相如列传	unknown_bio	昆鸡	标注了〖+昆鸡〗但不在词表内	虚无，与神俱，辚〖+玄鹤〗，乱〖+昆鸡〗。遒〖+孔鸾〗，促〖+鵕璘〗，
117_司马相如列传	unknown_bio	孔鸾	标注了〖+孔鸾〗但不在词表内	辚〖+玄鹤〗，乱〖+昆鸡〗。遒〖+孔鸾〗，促〖+鵕璘〗，拂〖+鹥鸟〗，
117_司马相如列传	unknown_bio	鵕璘	标注了〖+鵕璘〗但不在词表内	乱〖+昆鸡〗。遒〖+孔鸾〗，促〖+鵕璘〗，拂〖+鹥鸟〗，捎〖+凤皇〗，
117_司马相如列传	unknown_bio	鹥鸟	标注了〖+鹥鸟〗但不在词表内	遒〖+孔鸾〗，促〖+鵕璘〗，拂〖+鹥鸟〗，捎〖+凤皇〗，捷〖+鸳雏〗，
117_司马相如列传	unknown_bio	鸳雏	标注了〖+鸳雏〗但不在词表内	拂〖+鹥鸟〗，捎〖+凤皇〗，捷〖+鸳雏〗，掩〚焦明〛。↵↵[2.22]
117_司马相如列传	unknown_bio	玄鹤	标注了〖+玄鹤〗但不在词表内	》之林，射貍首，兼〚驺虞〛，弋〖+玄鹤〗，建〖*干戚〗，载〖*云鶒〗，
117_司马相如列传	unknown_bio	彘	标注了〖+彘〗但不在词表内	是时〖#天子〗方好自击〖+熊〗〖+彘〗，驰逐〖+野兽〗，〖@相如〗上
117_司马相如列传	unknown_bio	蓬蒿	标注了〖+蓬蒿〗但不在词表内	後驰，犹时有衔橛之变，而况涉乎〖+蓬蒿〗，驰乎丘坟，前有利兽之乐而内无
117_司马相如列传	unknown_bio	赤螭	标注了〖+赤螭〗但不在词表内	龙〛〖*象舆〗之蠖略逶丽兮，骖〖+赤螭〗〖+青虬〗之鞮蟉蜿蜒。低卬夭蟜
117_司马相如列传	unknown_bio	青虬	标注了〖+青虬〗但不在词表内	舆〗之蠖略逶丽兮，骖〖+赤螭〗〖+青虬〗之鞮蟉蜿蜒。低卬夭蟜据以骄骜兮
117_司马相如列传	unknown_bio	琼华	标注了〖+琼华〗但不在词表内	沆瀣餐朝霞，噍咀〖+芝〗英兮叽〖+琼华〗。嬐侵浔而高纵兮，纷鸿涌而上厉
117_司马相如列传	unknown_bio	麋	标注了〖+麋〗但不在词表内	面内。然後囿〚驺虞〛之珍群，徼〖+麋〗〖+鹿〗之怪兽，鳒一茎六穗於庖
117_司马相如列传	unknown_bio	龟	标注了〖+龟〗但不在词表内	於庖，牺双共抵之兽，获周馀珍收〖+龟〗于〖=岐〗，招〖+翠〗〖+黄〗
117_司马相如列传	unknown_bio	翠	标注了〖+翠〗但不在词表内	周馀珍收〖+龟〗于〖=岐〗，招〖+翠〗〖+黄〗乘〖+龙〗於沼。〚鬼神
117_司马相如列传	unknown_bio	黄	标注了〖+黄〗但不在词表内	〖+龟〗于〖=岐〗，招〖+翠〗〖+黄〗乘〖+龙〗於沼。〚鬼神〛接〚灵
117_司马相如列传	unknown_bio	麟	标注了〖+麟〗但不在词表内	以兴。↵↵[14.7] 濯濯之〖+麟〗，游彼灵畤。〖%孟冬十月〗，君
117_司马相如列传	unknown_bio	黄龙	标注了〖+黄龙〗但不在词表内	未尝有。↵↵[14.8] 宛宛〖+黄龙〗，兴德而升；采色炫燿，熿炳煇煌
117_司马相如列传	cross_type	青虬	同时标为 biology 和 mythical	
117_司马相如列传	cross_type	若	同时标为 biology 和 place	
118_淮南衡山列传	unknown_bio	麋	标注了〖+麋〗但不在词表内	，〖;吴王〗不用，乃曰'臣今见〖+麋〗〖+鹿〗游〖=姑苏〗之〖*台〗
118_淮南衡山列传	unknown_bio	荆棘	标注了〖+荆棘〗但不在词表内	[18.1] 。今臣亦见宫中生〖+荆棘〗，露霑衣也。"王怒，系〖@伍被
123_大宛列传	unknown_bio	蒲陶	标注了〖+蒲陶〗但不在词表内	土著，耕田，田〖*稻〗*麦。有〖+蒲陶〗酒。多善马，马〖*汗〗血，其先
123_大宛列传	unknown_bio	蒲陶	标注了〖+蒲陶〗但不在词表内	俗土著，耕田，田〖*稻〗*麦，〖+蒲陶〗酒。城邑如大宛。其属小大数百城
123_大宛列传	unknown_bio	邛竹	标注了〖+邛竹〗但不在词表内	骞〗曰："臣在〖'大夏〗时，见〖+邛竹〗〖*杖〗、〖*蜀布〗。问曰：'
123_大宛列传	unknown_bio	蒲陶	标注了〖+蒲陶〗但不在词表内	於〖'汉〗使焉。〖~宛〗左右以〖+蒲陶〗为〖*酒〗，富人藏〖*酒〗至〖
123_大宛列传	unknown_bio	苜蓿	标注了〖+苜蓿〗但不在词表内	不败。俗嗜〖*酒〗，〖*马〗嗜〖+苜蓿〗。〖'汉〗使取其实来，於是〖#
123_大宛列传	unknown_bio	苜蓿	标注了〖+苜蓿〗但不在词表内	使取其实来，於是〖#天子〗始种〖+苜蓿〗、〖+蒲陶〗肥饶地。及〖*天马
123_大宛列传	unknown_bio	蒲陶	标注了〖+蒲陶〗但不在词表内	於是〖#天子〗始种〖+苜蓿〗、〖+蒲陶〗肥饶地。及〖*天马〗多，外国使
123_大宛列传	unknown_bio	蒲萄	标注了〖+蒲萄〗但不在词表内	使来众，则〖^离宫别观〗旁尽种〖+蒲萄〗、〖+苜蓿〗极望。自〖~大宛〗
123_大宛列传	unknown_bio	苜蓿	标注了〖+苜蓿〗但不在词表内	^离宫别观〗旁尽种〖+蒲萄〗、〖+苜蓿〗极望。自〖~大宛〗以西至〖~安
126_滑稽列传	unknown_bio	楩	标注了〖+楩〗但不在词表内	玉〖*为〗棺，文梓〖*为〗椁，〖+楩〗〖+枫〗〖+豫章〗为题凑，发甲
126_滑稽列传	unknown_bio	枫	标注了〖+枫〗但不在词表内	〗棺，文梓〖*为〗椁，〖+楩〗〖+枫〗〖+豫章〗为题凑，发甲卒为穿壙
126_滑稽列传	unknown_bio	豫章	标注了〖+豫章〗但不在词表内	梓〖*为〗椁，〖+楩〗〖+枫〗〖+豫章〗为题凑，发甲卒为穿壙，老弱负土
126_滑稽列传	unknown_bio	木兰	标注了〖+木兰〗但不在词表内	〖*为〗棺，赍以姜**枣，荐以〖+木兰〗，祭以〖+粮稻〗，衣以火光，葬
126_滑稽列传	unknown_bio	粮稻	标注了〖+粮稻〗但不在词表内	姜**枣，荐以〖+木兰〗，祭以〖+粮稻〗，衣以火光，葬之於人腹肠。"於
126_滑稽列传	unknown_bio	蒲苇	标注了〖+蒲苇〗但不在词表内	已又曰："某所有公田〖*鱼〗池〖+蒲苇〗〖%数顷〗，〖#陛下〗以赐臣，
126_滑稽列传	untagged	六畜	词表词未标注	为之柰何？"优孟曰："请为大王六畜葬之。以垅灶〖*为〗椁，铜历〖
127_日者列传	unknown_bio	兰芷芎藭	标注了〖+兰芷芎藭〗但不在词表内	〖*鸱枭〗之与〖*凤皇〗翔乎？〖+兰芷芎藭〗弃於〖@广野〗，〖+蒿萧〗成林
127_日者列传	unknown_bio	蒿萧	标注了〖+蒿萧〗但不在词表内	〖+兰芷芎藭〗弃於〖@广野〗，〖+蒿萧〗成林，使〔君子〕退而不显众，公
128_龟策列传	unknown_bio	莲叶	标注了〖+莲叶〗但不在词表内	长老，云〖^龟〗〖%千岁〗乃游〖+莲叶〗之上，〖^蓍〗〖%百茎〗共一根
128_龟策列传	unknown_bio	兔丝	标注了〖+兔丝〗但不在词表内	。传曰："下有〖^伏灵〗，上有〖+兔丝〗；上有〖+捣蓍〗，下有神〖^龟
128_龟策列传	unknown_bio	捣蓍	标注了〖+捣蓍〗但不在词表内	^伏灵〗，上有〖+兔丝〗；上有〖+捣蓍〗，下有神〖^龟〗。"所谓〖^伏
128_龟策列传	unknown_bio	兔丝	标注了〖+兔丝〗但不在词表内	^龟〗。"所谓〖^伏灵〗者，在〖+兔丝〗之下，状似〖*飞鸟〗之形。新雨
128_龟策列传	unknown_bio	兔丝	标注了〖+兔丝〗但不在词表内	新雨已，天〔清静〕无风，以夜捎〖+兔丝〗去之，既以鮸〖*烛〗此地〖*烛
128_龟策列传	unknown_bio	莲	标注了〖+莲〗但不在词表内	嘉林。〖^龟〗在其中，常巢於芳〖+莲〗之上。左胁书文曰：'甲〖@子重
128_龟策列传	unknown_bio	桑麻	标注了〖+桑麻〗但不在词表内	立官置吏，劝以爵禄。〖*衣〗以〖+桑麻〗，养以〖*五穀〗。耕之櫌之，鉏
128_龟策列传	unknown_bio	松柏	标注了〖+松柏〗但不在词表内	。〖+竹〗外有节理，中直空虚；〖+松柏〗为百〖+木〗长，而守门闾。〖!
128_龟策列传	untagged	六畜	词表词未标注	〖^赋敛〗无度，杀戮无方。杀人六畜，以〖*韦〗为囊。囊盛其〖*血
129_货殖列传	unknown_bio	梓	标注了〖+梓〗但不在词表内	*丝〗、声色；〖=江南〗出棻、〖+梓〗、〖+姜〗、〖+桂〗、〖*金〗
129_货殖列传	unknown_bio	姜	标注了〖+姜〗但不在词表内	色；〖=江南〗出棻、〖+梓〗、〖+姜〗、〖+桂〗、〖*金〗、〖*锡〗
129_货殖列传	unknown_bio	桂	标注了〖+桂〗但不在词表内	南〗出棻、〖+梓〗、〖+姜〗、〖+桂〗、〖*金〗、〖*锡〗、连、〖*
129_货殖列传	unknown_bio	卮	标注了〖+卮〗但不在词表内	巴蜀〗。〖=巴蜀〗亦沃野，地饶〖+卮〗、〖+姜〗、〖*丹沙〗、〖*石
129_货殖列传	unknown_bio	姜	标注了〖+姜〗但不在词表内	=巴蜀〗亦沃野，地饶〖+卮〗、〖+姜〗、〖*丹沙〗、〖*石〗、〖*铜
129_货殖列传	unknown_bio	桑麻	标注了〖+桑麻〗但不在词表内	齐〗带山海，膏壤〖%千里〗，宜〖+桑麻〗，人民多文采布帛**鱼盐。〖=
129_货殖列传	unknown_bio	桑麻	标注了〖+桑麻〗但不在词表内	备於〖^礼〗，故其民龊龊。颇有〖+桑麻〗之业，无林泽之饶。地小人众，俭
129_货殖列传	unknown_bio	竹木	标注了〖+竹木〗但不在词表内	江南〗卑湿，〖;丈夫〗早夭。多〖+竹木〗。〖=豫章〗出〖*黄金〗，〖=
129_货殖列传	unknown_bio	果	标注了〖+果〗但不在词表内	稻〗羹〖*鱼〗，或火耕而水耨，〖+果〗隋蠃蛤，不待贾而足，地埶饶食，
129_货殖列传	unknown_bio	桑麻	标注了〖+桑麻〗但不在词表内	、〖=泗〗水以北，宜〖*五穀〗〖+桑麻〗六畜，地小人众，数被水旱之害，
129_货殖列传	unknown_bio	萩	标注了〖+萩〗但不在词表内	，〖=河济〗之间〖%千〖+树〗〖+萩〗；陈、夏〗〖=千亩〗〖+漆〗；
129_货殖列传	unknown_bio	漆	标注了〖+漆〗但不在词表内	〗〖+萩〗；陈、夏〗〖=千亩〗〖+漆〗；〖=齐〗、〖=鲁〗〖%千亩〖
129_货殖列传	unknown_bio	桑麻	标注了〖+桑麻〗但不在词表内	〗；〖=齐〗、〖=鲁〗〖%千亩〖+桑麻〗；渭川〗〖=千亩〗〖+竹〗；及
129_货殖列传	unknown_bio	卮茜	标注了〖+卮茜〗但不在词表内	%千亩〗亩锺之田，若〖%千亩〗〖+卮茜〗，〖%千畦〗〖+姜韭〗：此其人
129_货殖列传	unknown_bio	姜韭	标注了〖+姜韭〗但不在词表内	%千亩〗〖+卮茜〗，〖%千畦〗〖+姜韭〗：此其人皆与〖%千户〗侯等。然
129_货殖列传	unknown_bio	木铁	标注了〖+木铁〗但不在词表内	+木〗器魨者千枚，铜器千钧，素〖+木铁〗器若〖+卮茜〗千石，马蹄躈千，
129_货殖列传	unknown_bio	卮茜	标注了〖+卮茜〗但不在词表内	枚，铜器千钧，素〖+木铁〗器若〖+卮茜〗千石，马蹄躈千，牛千足，羊**
129_货殖列传	unknown_bio	枣栗	标注了〖+枣栗〗但不在词表内	{此鱼}千斤，鲰千石，鲍千钧，〖+枣栗〗千石者三之，狐〖*龂〗裘千皮，
129_货殖列传	unknown_bio	果菜	标注了〖+果菜〗但不在词表内	千皮，羔羊裘千石，旃席千具，佗〖+果菜〗千锺，子贷金钱〖%千贯〗，节駔
129_货殖列传	cross_type	枣	同时标为 biology 和 artifact	
129_货殖列传	cross_type	漆	同时标为 biology 和 artifact	
129_货殖列传	cross_type	果	同时标为 biology 和 artifact	
129_货殖列传	untagged	六畜	词表词未标注	水以北，宜〖*五穀〗〖+桑麻〗六畜，地小人众，数被水旱之害，民好
129_货殖列传	untagged	猛兽	词表词未标注	衣服，与用事僮仆同苦乐，趋时若猛兽〖*挚〗鸟之发。故曰："吾治生
