词	出现次数	实体类型
比平	4	
侯昭	4	
执元	4	
丘侯	4	官职$
辟阳	4	
殇侯	4	官职$
塞外	4	
圣元	4	
侯指	4	
遗腹	4	
侯吴	4	
种元	4	
阳平	4	
龙元	4	
侯悼	4	
侯舜	4	
侯明	4	
布反	4	
侯鸱	4	
侯列	4	
诈诏	4	
侯阳	4	
影响	4	
汉相	4	官职$
郢客	4	
买田	4	
太中	4	
弟侯	4	官职$
侯仆	4	
师北	4	
平陵	4	地名=
孙敖	4	
国绝	4	
镪侯	4	官职$
右北	4	
事武	4	
骄蹇	4	
辅政	4	
平乐	4	
系狱	4	刑法【】
扶阳	4	
范明	4	
明友	4	
度辽	4	
相通	4	
恩侯	4	官职$
私恩	4	
好色	4	
嫉妒	4	
霍氏	4	族群~
陵王	4	
逐王	4	
渠率	4	
刘成	4	
顺元	4	
事天	4	
恣睢	4	
可欺	4	
声色	4	
民困	4	
包含	4	
状似	4	
快意	4	
动心	4	
气相	4	官职$
讨彊	4	
毒螫	4	
逆顺	4	
内属	4	
臣宗	4	
凶器	4	
结和	4	
物变	4	
物可	4	
著明	4	
必效	4	
率天	4	
易姓	4	
解纷	4	
协洽	4	
淹茂	4	
众星	4	
国吉	4	
同舍	4	
穷兵	4	
西国	4	
国利	4	
中道	4	
状类	4	
纷纷	4	
天开	4	
谣俗	4	
可考	4	
引弓	4	
常主	4	
凡天	4	
怠慢	4	
配天	4	
帝敬	4	
衍溢	4	
逐利	4	
仕宦	4	
闾阎	4	
兵连	4	
获首	4	
盗铸	4	
贳贷	4	
货物	4	
博戏	4	
相引	4	
乏绝	4	
初郡	4	
工商	4	
成霸	4	
必加	4	
民劳	4	
欲弑	4	
心疾	4	
逆旅	4	
欲妻	4	
兵随	4	
母兄	4	
伏谒	4	
辅翼	4	
民逆	4	
师事	4	
姓同	4	
船中	4	
弟弑	4	
傅相	4	官职$
和集	4	
同苦	4	
凡厥	4	
民苦	4	
国争	4	
可移	4	
徒袭	4	
边城	4	地名=
庸可	4	
国患	4	
卖己	4	
宗家	4	
伏士	4	
私门	4	
骄主	4	
始乱	4	
国後	4	
布腹	4	
独後	4	
擅兵	4	
疏骨	4	
欲报	4	
负王	4	
独吊	4	
尊名	4	
壤界	4	
面相	4	官职$
东面	4	
众辱	4	
王前	4	
昨暮	4	
卜事	4	
匿山	4	地名=
事先	4	
屏左	4	
奉公	4	
王饮	4	
谗臣	4	
独擅	4	
说士	4	
老妇	4	
敬诺	4	
城市	4	
市邑	4	
氏地	4	
比周	4	
原效	4	
欲利	4	
必相	4	官职$
欲地	4	
西说	4	
续氏	4	族群~
议论	4	
交臂	4	
东兵	4	
释帝	4	
西驰	4	
弦歌	4	
尝困	4	
指意	4	
北徇	4	
捕系	4	
欲连	4	
园邑	4	
良家	4	
县名	4	
舍中	4	
侍御	4	
伏地	4	
公田	4	
秩比	4	
诸刘	4	
求事	4	
推毂	4	
祝午	4	
军等	4	
金财	4	
田地	4	
械系	4	
贾竖	4	
吏舍	4	
歌呼	4	
良说	4	
天府	4	官职$
易太	4	
张负	4	
穷巷	4	
假贷	4	
必内	4	
驰传	4	
陵母	4	
应变	4	
威武	4	
驱驰	4	
王头	4	
簿责	4	
後传	4	
虏略	4	
盎等	4	
忽忽	4	
平襄	4	
祸乱	4	
驰逐	4	
号位	4	
臣贺	4	
承天	4	
臣闳	4	
奉承	4	
垂统	4	
维稽	4	
保国	4	
王策	4	
氏後	4	
岩穴	4	
幽囚	4	
转祸	4	
容貌	4	
逆鳞	4	
绳墨	4	
臣素	4	
素骄	4	
甘味	4	
可试	4	
名诸	4	
可说	4	
求报	4	
就功	4	
家必	4	
叔座	4	
名天	4	
成帝	4	
收地	4	
妻妾	4	
吞天	4	
挟彊	4	
臣效	4	
侧目	4	
苏氏	4	族群~
绝约	4	
臣父	4	
相结	4	
讬仪	4	
王疑	4	
罗甘	4	
相欺	4	
军後	4	
病笃	4	
荆兵	4	
通谷	4	地名=
海外	4	
宾主	4	
兵食	4	
券书	4	
冯轼	4	
轼结	4	
结靷	4	
相倾	4	
相士	4	
鄙军	4	
报谢	4	
博徒	4	
右壤	4	
辟地	4	
叹息	4	
倡优	4	
唐举	4	
南收	4	
卤获	4	
结交	4	
偿城	4	地名=
私雠	4	
右翼	4	
俶傥	4	
孽孙	4	
情实	4	
报私	4	
苦形	4	
国士	4	
箕踞	4	
易俗	4	
覆案	4	
唯明	4	
倍畔	4	
王实	4	
越列	4	
功冠	4	
腐儒	4	
争天	4	
遭初	4	
尝病	4	
交驩	4	
简易	4	
盎论	4	
同席	4	
首捕	4	
家监	4	官职$
脉结	4	
头痛	4	
主病	4	
後溲	4	
齐汤	4	
风气	4	
明脉	4	
脾气	4	
蹶阴	4	
伤脾	4	
经脉	4	
煮海	4	地名=
海水	4	地名=
谢天	4	
馀财	4	
异道	4	
北可	4	
缯絮	4	
穹庐	4	
盗边	4	
奉禄	4	
遗文	4	
役属	4	
比内	4	
略通	4	
西可	4	
反具	4	
仇家	4	
俗土	4	
决吉	4	
姓公	3	
营卫	3	
水滔	3	
滔天	3	
浩怀	3	
怀山	3	地名=
山襄	3	
雷雨	3	
择吉	3	
西巡	3	
北巡	3	
祖祢	3	
群后	3	
讴歌	3	
娶妻	3	
顺適	3	
让畔	3	
天事	3	
唯谨	3	
疆土	3	
伤先	3	
身焦	3	
中中	3	
赋中	3	
土壤	3	
州攸	3	
帝前	3	
始事	3	
事事	3	
翔舞	3	
属意	3	
素王	3	
宝玉	3	
书阙	3	
争相	3	官职$
渡南	3	
胥靡	3	
求美	3	
斧钺	3	器物*
乐器	3	
帝号	3	
初欲	3	
畜积	3	
民欲	3	
郭室	3	
民俗	3	
率戎	3	族群~
王父	3	
昧爽	3	
萌隶	3	
望邑	3	
满野	3	地名=
群弟	3	
遗民	3	
王庙	3	地名=
道缺	3	
恤民	3	
具备	3	
专利	3	
王师	3	
童妾	3	
夜啼	3	
烽燧	3	
平戎	3	族群~
后太	3	
官职	3	
必疑	3	
东说	3	
必东	3	
牢祠	3	
御蛊	3	
常游	3	
漕转	3	
推锋	3	
宗女	3	
可袭	3	
政犹	3	
内相	3	官职$
夜哭	3	
明功	3	
致文	3	
吊祠	3	
厥号	3	
蔽天	3	
支属	3	
就食	3	
鬼薪	3	
患兵	3	
名号	3	
刻削	3	
赖陛	3	
祠祀	3	
周览	3	
诵功	3	
诸产	3	
休明	3	
遵职	3	
后嗣	3	
南登	3	
同父	3	
维皇	3	
举错	3	
亲相	3	官职$
相保	3	
童男	3	
南渡	3	地名=
禽灭	3	
嘉平	3	
地势	3	
赘婿	3	
明圣	3	
辅拂	3	
饰虚	3	
山堙	3	
堙谷	3	地名=
奇药	3	
内宫	3	地名=
捕诸	3	
畏罪	3	
慑伏	3	
权势	3	
士欲	3	
求奇	3	
利相	3	官职$
游天	3	
饰诈	3	
敬奉	3	
药可	3	
神可	3	
事毕	3	
寝庙	3	地名=
祠庙	3	地名=
奉书	3	
赍粮	3	
采椽	3	
臣虏	3	
号名	3	
案责	3	
应诸	3	
左骖	3	
吏发	3	
王国	3	
珍宝	3	
籓篱	3	
中佐	3	
山带	3	
同心	3	
后事	3	
拱手	3	
割膏	3	
逡巡	3	
鞭笞	3	
笞天	3	
俯首	3	
北筑	3	
名城	3	地名=
劲弩	3	
臣精	3	
蹑足	3	
异变	3	
比权	3	
权量	3	
卑微	3	
引领	3	
劳民	3	
缟素	3	
牧民	3	
葬南	3	
葬北	3	
葬西	3	
宗亲	3	
讨贼	3	
急引	3	
家妇	3	
倍王	3	
引军	3	
臣论	3	
地兵	3	
天寒	3	
饥民	3	
王阴	3	
纵兵	3	
欲约	3	
侯吏	3	
奴虏	3	
尚众	3	
好美	3	
夜驰	3	
距关	3	地名=
兄事	3	
备他	3	
他盗	3	
身独	3	
烧宫	3	地名=
诸相	3	官职$
初发	3	
道险	3	
灭王	3	
王畏	3	
王资	3	
扞蔽	3	
系虏	3	
残灭	3	
求王	3	
食食	3	
城西	3	
兵佐	3	
匈匈	3	
中王	3	
半渡	3	地名=
遗患	3	
东傅	3	
傅海	3	地名=
军壁	3	地名=
悲歌	3	
披靡	3	
矜功	3	
天实	3	
雷电	3	
晦冥	3	
好相	3	官职$
箕帚	3	
求盗	3	
逾城	3	地名=
相推	3	
独追	3	
僄悍	3	
保城	3	地名=
兵尚	3	
疑兵	3	
掠卤	3	
诸县	3	
飨军	3	
可急	3	
屠烧	3	
後天	3	
盗兵	3	
东略	3	
引水	3	地名=
水灌	3	
祀天	3	礼仪〈〉
临河	3	地名=
诈阬	3	
微细	3	
侯籍	3	
伪游	3	
带河	3	地名=
侯剖	3	
心动	3	
南据	3	
纵酒	3	
唯陛	3	
良医	3	
臣内	3	
次王	3	
循环	3	
啼泣	3	
诸姬	3	
燕饮	3	
弟诸	3	
廷争	3	
可属	3	
诸女	3	
王友	3	
天报	3	
微伺	3	
卫宫	3	地名=
相列	3	
事擅	3	
严威	3	
主兵	3	
必罢	3	
推本	3	
端门	3	
欲休	3	
垂拱	3	
菹醢	3	
喋血	3	
难动	3	
等具	3	
王意	3	
先驰	3	
邑各	3	
父後	3	
育群	3	
财足	3	
诖误	3	
帝许	3	
欲改	3	
帝诸	3	
臣兵	3	
内志	3	
加惠	3	
常恐	3	
诈病	3	
供养	3	
妇嫁	3	
旦夕	3	
帝诏	3	
侯宜	3	
前后	3	
约和	3	
罢诸	3	
侯太	3	
徵文	3	
尊显	3	
卻老	3	
遍诸	3	
食器	3	
始亲	3	
亲祠	3	
坛开	3	
瑞应	3	
角兽	3	动植物〘〙
符应	3	
他县	3	
王祀	3	
中望	3	
驾车	3	
画天	3	
饭牛	3	
室帷	3	
中圜	3	
圜丘	3	地名=
邈绝	3	
始巡	3	
相中	3	
恐效	3	
鸿渐	3	
道天	3	
常夜	3	
夜祠	3	
振天	3	
帝廷	3	
札书	3	
神筴	3	
臣後	3	
脱鵕	3	
羊彘	3	
兆祥	3	
郊祠	3	
帝禁	3	
乐舞	3	礼仪〈〉
士传	3	
地主	3	
阴道	3	
宫垣	3	
侯邸	3	
火灾	3	
辇道	3	
芬芳	3	
犊牢	3	
弥众	3	
神名	3	
历谱	3	
谱谍	3	
乖异	3	
淫侈	3	
公寿	3	
侯庄	3	
公和	3	
公说	3	
鲁桓	3	
晋哀	3	
易许	3	
侯弟	3	
王齐	3	
公朔	3	
王求	3	
燕桓	3	
公杵	3	
臼元	3	
臧文	3	
文仲	3	
厘王	3	
开元	3	
畏太	3	
梦天	3	
公昭	3	
质秦	3	
求霸	3	
公王	3	
卫成	3	
王狩	3	
公平	3	
侵宋	3	
倍晋	3	
晋侵	3	
鸱元	3	
野元	3	
公太	3	
庐元	3	
王审	3	
臧元	3	
欲倍	3	
田邑	3	
北鄙	3	
齐景	3	
宠相	3	官职$
晋谢	3	
次干	3	
干谿	3	
楚平	3	
疾元	3	
侯东	3	
室乱	3	
争桑	3	
蔡昭	3	
可畏	3	
说众	3	
囊瓦	3	
侯侵	3	
秦惠	3	
社宫	3	地名=
差元	3	
季康	3	
西狩	3	
常相	3	官职$
国权	3	
景伯	3	
楚灭	3	
国侯	3	官职$
错元	3	
卫悼	3	
齐元	3	
公初	3	
卜相	3	官职$
惠文	3	
利国	3	
北游	3	
王哙	3	
蜀相	3	官职$
蔺相	3	官职$
庄襄	3	
帝元	3	
王迹	3	
愤发	3	
兵众	3	
郡尉	3	官职$
侯尊	3	
王吴	3	
属齐	3	
王敖	3	
地北	3	
適削	3	
彊本	3	
枝叶	3	
惠元	3	
王襄	3	
城侯	3	官职$
产元	3	
壶关	3	地名=
太元	3	
文元	3	
志元	3	
王卬	3	
卬元	3	
陆侯	3	官职$
南王	3	
壖垣	3	
舜元	3	
识元	3	
王胥	3	
胥元	3	
河郡	3	
侈元	3	
戴王	3	
臣功	3	
骄溢	3	
淫嬖	3	
统纪	3	
侯襄	3	
宗元	3	
事国	3	
侯伉	3	
夏侯	3	官职$
灶元	3	
尚公	3	
御婢	3	
宽元	3	
平棘	3	
寿成	3	
侯郦	3	
侯开	3	
厌次	3	
阳王	3	
左司	3	
侯常	3	
属悼	3	
侯丁	3	
邑侯	3	官职$
武彊	3	
秋元	3	
侯蔡	3	
侯捷	3	
侯皋	3	
昌武	3	
侯单	3	
斥丘	3	地名=
侯吉	3	
吉元	3	
侯游	3	
仓元	3	
侯奉	3	
侯程	3	
右司	3	
宜成	3	
侯郢	3	
侯杨	3	
侯殷	3	
殷元	3	
侯秦	3	
罢师	3	
鴈门	3	
侯冯	3	
侯桑	3	
马汉	3	
侯栾	3	
侯戚	3	
侯恢	3	
和诸	3	
央宫	3	地名=
阳成	3	
择元	3	
后昆	3	
侯侈	3	
徐厉	3	
中意	3	
王舅	3	
父侯	3	官职$
文后	3	
桑林	3	
侯发	3	
侯横	3	
康元	3	
始昌	3	
徐卢	3	
景后	3	
侯田	3	
路塞	3	地名=
身脱	3	
葛绎	3	
绎侯	3	官职$
畏懦	3	
侯李	3	
横海	3	地名=
水道	3	
路博	3	
等功	3	
刘福	3	
捕反	3	
等侯	3	官职$
涉江	3	
觉捕	3	
事宣	3	
官桀	3	
王䜣	3	
元凤	3	
事幕	3	
司农	3	
相就	3	
赵充	3	
庙功	3	
臣光	3	
军侯	3	官职$
嗜酒	3	
酒好	3	
平台	3	地名=
媚道	3	
好士	3	
爰戚	3	
异路	3	
西平	3	
游宦	3	
刘明	3	
刘贞	3	
贞元	3	
刘顺	3	
刘让	3	
让元	3	
侯邑	3	
刘昌	3	
反虏	3	
河决	3	
仆公	3	
韩曾	3	
中太	3	
执金	3	
束缚	3	
节文	3	
相逾	3	
显荣	3	
可传	3	
情性	3	
情文	3	
文貌	3	
情欲	3	
灵威	3	
声相	3	官职$
内容	3	
修身	3	
优侏	3	
淫佚	3	
变俗	3	
物始	3	
甲乙	3	
形成	3	
欲存	3	
雄雌	3	
反本	3	
履端	3	
论著	3	
阉茂	3	
平旦	3	
相比	3	
辅臣	3	
市中	3	
南众	3	
门内	3	
主象	3	
涉水	3	地名=
女孙	3	
周天	3	
他星	3	
角动	3	
次舍	3	
反明	3	
度半	3	
谨候	3	
牝牡	3	
拥阏	3	
国外	3	
外内	3	
蕃昌	3	
经天	3	
北国	3	
事左	3	
军急	3	
号泣	3	
後病	3	
太阳	3	
火光	3	
冲天	3	
雄鸡	3	
半天	3	
金宝	3	
明旦	3	
疾疫	3	
列宿	3	
天变	3	
传天	3	
兵灭	3	
次脩	3	
堙灭	3	
饮马	3	
貍首	3	
游海	3	地名=
金银	3	
地名	3	
房中	3	
巫祠	3	
食天	3	
车各	3	
神策	3	
巡海	3	地名=
通渠	3	
引溉	3	
水工	3	
泽卤	3	
度可	3	
烦费	3	
粮饟	3	
馀业	3	
山铸	3	
粱肉	3	
巧法	3	
租赋	3	
兵甲	3	
试补	3	
冶铸	3	
煮盐	3	
银锡	3	
铜山	3	地名=
车甲	3	
乱法	3	
通货	3	
民巧	3	
徵诸	3	
工官	3	
币物	3	
委输	3	
食租	3	
龟贝	3	
庠序	3	
地力	3	
厌糟	3	
士力	3	
纺绩	3	
致国	3	
政必	3	
相灭	3	
绝兵	3	
兵後	3	
骨鲠	3	
弟欲	3	
报父	3	
欲霸	3	
後苗	3	
兵权	3	
遮道	3	
驰报	3	
王祭	3	
可相	3	官职$
尊王	3	
公许	3	
登台	3	地名=
公反	3	
门开	3	
公尸	3	
恐乱	3	
弟相	3	官职$
发甲	3	
辟难	3	
堂堂	3	地名=
历阶	3	
逐群	3	
徒追	3	
盟诸	3	
膏壤	3	
报政	3	
侯效	3	
让国	3	
始彊	3	
士争	3	
兵引	3	
母昆	3	
发文	3	
私许	3	
後灭	3	
骈胁	3	
田弋	3	
可法	3	
界盗	3	
美好	3	
纵淫	3	
常伦	3	
公门	3	
求诸	3	
成列	3	
迷惑	3	
王惠	3	
御戎	3	族群~
必移	3	
可负	3	
民力	3	
同位	3	
武宫	3	地名=
刀锯	3	
众心	3	
闺门	3	
先纵	3	
求平	3	
欲和	3	
灭後	3	
侵天	3	
酒醉	3	
伯父	3	
度王	3	
傍徨	3	
相求	3	
同好	3	
谗太	3	
画地	3	
绝交	3	
国尚	3	
南袭	3	
宜事	3	
王约	3	
境壤	3	
蕃臣	3	
发病	3	
奋翼	3	
发号	3	
兵加	3	
王释	3	
罢弊	3	
顿刃	3	
主辱	3	
辱臣	3	
乡党	3	
中男	3	
负郭	3	
兵中	3	
名垂	3	
父欲	3	
氏反	3	
书藏	3	
後氏	3	族群~
忍卼	3	
左衽	3	
遗俗	3	
山谷	3	地名=
阴贼	3	
解兵	3	
西兵	3	
原望	3	
山陵	3	地名=
食禄	3	
必右	3	
事始	3	
交彊	3	
虚名	3	
恐王	3	
南通	3	
客舍	3	
南割	3	
独尊	3	
西侵	3	
家臣	3	
乞贷	3	
武备	3	
足异	3	
形状	3	
狂简	3	
身亲	3	
讲诵	3	
旷野	3	地名=
良工	3	
彬彬	3	
鞠躬	3	
道穷	3	
辱身	3	
指博	3	
庙堂	3	地名=
系等	3	
什倍	3	
家女	3	
吏奉	3	
泣涕	3	
襁褓	3	
右群	3	
侯尚	3	
尚主	3	
主独	3	
始微	3	
纷乱	3	
就天	3	
备西	3	
后饮	3	
国委	3	
屯兵	3	
平等	3	
兵应	3	
等兵	3	
欲移	3	
迫劫	3	
纪氏	3	族群~
脩成	3	
疾苦	3	
县邑	3	
发踪	3	
举宗	3	
恭谨	3	
笔吏	3	
贲军	3	
尸北	3	
国吏	3	
声名	3	
饮醇	3	
开说	3	
家财	3	
具食	3	
说汉	3	
欲捐	3	
画策	3	
辍食	3	
竖儒	3	
臣罢	3	
争锋	3	
监兵	3	
兄伯	3	
奇士	3	
意忌	3	
草具	3	
疾免	3	
让勃	3	
主臣	3	
本好	3	
木彊	3	
好文	3	
侵辱	3	
续绛	3	
绛後	3	
士吏	3	
壁门	3	
改容	3	
事连	3	
他议	3	
意王	3	
馀尚	3	
道尊	3	
尊尊	3	
夜泣	3	
唐姬	3	
书原	3	地名=
巧佞	3	
音声	3	
后脩	3	
求捕	3	
恭让	3	
臣充	3	
事昧	3	
汤等	3	
臣旦	3	
臣胥	3	
显功	3	
家皇	3	
叔亲	3	
翟等	3	
事臣	3	
维乙	3	
天禄	3	
国艾	3	
艾民	3	
北州	3	
参差	3	
全身	3	
诫王	3	
声誉	3	
王宣	3	
室诸	3	
属籍	3	
右欲	3	
食粟	3	
执鞭	3	
荣辱	3	
平仲	3	
意气	3	
名誉	3	
凡说	3	
後反	3	
王阖	3	
左手	3	
趣利	3	
明法	3	
昭关	3	地名=
前王	3	
天叹	3	
阴养	3	
伯牛	3	
货殖	3	
侯必	3	
业成	3	
发士	3	
公事	3	
敝衣	3	
樊迟	3	
公西	3	
字叔	3	
汤武	3	
差次	3	
筑冀	3	
据河	3	地名=
灌园	3	地名=
舍客	3	
浮说	3	
揣摩	3	
粟支	3	
原奉	3	
捐馆	3	
择交	3	
胸中	3	
力西	3	
约诸	3	
牛後	3	
奉社	3	
内劫	3	
外挟	3	
诏诏	3	
骄矜	3	
俯伏	3	
招天	3	
药酒	3	
力竭	3	
名卑	3	
塞鄳	3	
兵困	3	
诫门	3	
可事	3	
争论	3	
器必	3	
案图	3	
挟天	3	
群羊	3	
震恐	3	
关绝	3	
臣各	3	
兵函	3	
虎相	3	官职$
彊霸	3	
断右	3	
脑涂	3	
憎仪	3	
事可	3	
许公	3	
犹尚	3	
必争	3	
仇犹	3	
王倍	3	
仲侈	3	
母宣	3	
相向	3	
侯欲	3	
北宅	3	
全兵	3	
禄先	3	
必亲	3	
独畏	3	
王老	3	
蒙氏	3	族群~
转移	3	
县神	3	
神州	3	
执宾	3	
靖郭	3	
王威	3	
土禺	3	
踪迹	3	
蹑蹻	3	
客奉	3	
民家	3	
囊中	3	
手持	3	
毛先	3	
疑天	3	
客辩	3	
士说	3	
鄙兵	3	
卖浆	3	
趣驾	3	
婴城	3	地名=
後患	3	
王中	3	
客饮	3	
伏匿	3	
西游	3	
漆身	3	
相错	3	
困戹	3	
睚眦	3	
恐伤	3	
可原	3	地名=
害公	3	
身全	3	
震动	3	
害足	3	
乐瑕	3	
瑕公	3	
食必	3	
炫燿	3	
变易	3	
连书	3	
惊骇	3	
肝胆	3	
朽株	3	
寥廓	3	
专欲	3	
相纷	3	
具道	3	
玩好	3	
餽遗	3	
次传	3	
惶急	3	
驰骛	3	
风易	3	
心意	3	
资敌	3	
县城	3	地名=
身徇	3	
内乡	3	
逆乱	3	
姓力	3	
父事	3	
购求	3	
传檄	3	
侯印	3	
王姊	3	
王畔	3	
反形	3	
军粮	3	
布列	3	
旁郡	3	
医家	3	
空壁	3	地名=
震主	3	
劫略	3	
豪英	3	
宫车	3	
右各	3	
侯事	3	
东箱	3	
摇荡	3	
魋结	3	
屈彊	3	
饟道	3	
诸陵	3	地名=
结穇	3	
僮仆	3	
廷臣	3	
壮健	3	
决嫌	3	
交错	3	
阳脉	3	
藏气	3	
脉书	3	
色诊	3	
药论	3	
奇咳	3	
病决	3	
鍮肿	3	
呕脓	3	
肝气	3	
内关	3	地名=
烦懑	3	
阳病	3	
病气	3	
接内	3	
形弊	3	
中藏	3	
法中	3	
经纪	3	
牡疝	3	
书意	3	
砭灸	3	
水穀	3	
田园	3	地名=
必陵	3	地名=
欲倚	3	
杯酒	3	
责望	3	
东界	3	
发天	3	
绝幕	3	
绝道	3	
妻妻	3	
室女	3	天文!
寝兵	3	
俗好	3	
西通	3	
饥寒	3	
次女	3	
臣职	3	
度幕	3	
发军	3	
选择	3	
原罢	3	
扬名	3	
逾岭	3	地名=
边关	3	地名=
翱翔	3	
侈靡	3	
嵯峨	3	
偃蹇	3	
靡丽	3	
创业	3	
枯旱	3	
捕太	3	
道事	3	
导民	3	
官事	3	
公列	3	
严酷	3	
豪猾	3	
椎埋	3	
仪表	3	
羁属	3	
北道	3	
径醉	3	
困负	3	
王圣	3	
嘉林	3	
举网	3	
患中	3	
缩颈	3	
象郎	3	
机利	3	
弄法	3	
徵师	2	
披山	2	地名=
国和	2	
推筴	2	
水波	2	
动静	2	思想〔〕
脩身	2	
明鬼	2	
敬道	2	
夷易	2	
众功	2	
开明	2	
布功	2	
汤汤	2	
洪水	2	地名=
父顽	2	
母嚚	2	
弟傲	2	
烝烝	2	
穆穆	2	
可绩	2	
诸牧	2	
望秩	2	
同律	2	
律度	2	
量衡	2	
位凡	2	
姓悲	2	
国践	2	
顺事	2	
事父	2	
弥谨	2	
火焚	2	
纵火	2	
实井	2	
匿空	2	
内平	2	
美帝	2	
民始	2	
始饥	2	
敬敷	2	
寇贼	2	
诸臣	2	
夙夜	2	
率舞	2	
畏忌	2	
振惊	2	
考功	2	
国号	2	
姓姬	2	
帝系	2	
系姓	2	
尝西	2	
东渐	2	
南浮	2	
书缺	2	
炎历	2	
嗣位	2	
爰洎	2	
明扬	2	
成美	2	
卑宫	2	地名=
相地	2	
地宜	2	
篚织	2	
土涂	2	
涂泥	2	
厎绩	2	
织皮	2	
原隰	2	
攸同	2	
奋武	2	
严振	2	
俊乂	2	
