页面	减少量(B)	减少前(B)	减少后(B)	时间	减少前摘要	减少后摘要	减少前版本	减少后版本
荧惑守心景公三善	950	1104	154	2026-04-24 02:05:45	butler/fix-pn: 修正PN格式 + 添加章节关联	butler/merge: convert to redirect → 荧惑守心与异象	20260423-164922-ecac4d	20260424-020545-d4ab7b
059_五宗世家	948	5243	4295	2026-04-23 16:55:06	butler/add-chapter-summary: 添加太史公自序综述（18节）	butler/linkify: 事件列表添加wiki链接 (21个)	20260422-213930-368a68	20260423-165506-98ac4c
武涉说韩信	946	1092	146	2026-04-24 01:25:17	butler/fix-pn: 修正PN格式 + 添加章节关联	H1 REDIRECT → 武涉说齐王韩信连楚（合并）	20260423-164818-1a304c	20260424-012517-a51141
045_韩世家	945	4929	3984	2026-04-23 16:55:03	butler/add-chapter-summary: 添加太史公自序综述（21节）	butler/linkify: 事件列表添加wiki链接 (14个)	20260422-213929-bdbaa4	20260423-165503-49da84
吕雉	943	1515	572	2026-04-22 16:43:20	initial import from docs/wiki/pages/	butler/add-tag: 吕雉	20260422-134346-9ebdb0	20260422-164320-b805d4
晋文公	942	1480	538	2026-04-22 08:01:00	initial import from docs/wiki/pages/	butler/create-stub: 晋文公 P1 queue #2, refs=95/23	20260422-160102-21ec45	20260422-080100-1d5080
鞍之战齐败于晋	939	1081	142	2026-04-24 02:09:25	butler/fix-pn: 修正PN格式 + 添加章节关联	butler/merge: convert to redirect → 鞍之战晋败齐	20260423-165004-e6e403	20260424-020925-4074b5
048_陈涉世家	937	4641	3704	2026-04-23 16:55:03	butler/add-chapter-summary: 添加太史公自序综述（18节）	butler/linkify: 事件列表添加wiki链接 (12个)	20260422-213929-e31fdb	20260423-165503-cb8784
大夏	934	3085	2151	2026-04-24 12:57:51	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 大夏	20260424-103849-7d89b8	20260424-125751-2e9c62
124_游侠列传	933	3506	2573	2026-04-23 16:55:20	butler/add-chapter-summary: 添加太史公自序综述（8节）	butler/linkify: 事件列表添加wiki链接 (10个)	20260422-213934-a64999	20260423-165520-aa9191
019_惠景间侯者年表	931	3710	2779	2026-04-23 16:54:57	butler/add-chapter-summary: 添加太史公自序综述（3节）	butler/linkify: 事件列表添加wiki链接 (15个)	20260422-213927-6d8989	20260423-165457-c212ba
078_春申君列传	931	4395	3464	2026-04-23 16:55:10	butler/add-chapter-summary: 添加太史公自序综述（10节）	butler/linkify: 事件列表添加wiki链接 (16个)	20260422-213931-fbfa01	20260423-165510-34b516
114_东越列传	929	3937	3008	2026-04-23 16:55:18	butler/add-chapter-summary: 添加太史公自序综述（7节）	butler/linkify: 事件列表添加wiki链接 (16个)	20260422-213933-d4f5c5	20260423-165518-126b68
吴楚七国之乱	928	1048	120	2026-04-24 01:03:43	butler/fix-pn: 修正PN格式 + 添加章节关联	P2 merge: 吴楚七国之乱 REDIRECT → 七国之乱（加诸侯王年表来源）	20260423-164645-a84d0a	20260424-010343-9a15c1
鲧治水九年不成	924	1080	156	2026-04-24 01:05:27	butler/add-pn: 补全PN+元数据 (paragraph_refs, event_type)	H1 merge: 鲧治水九年不成 REDIRECT → 鲧治水九年无功被殛	20260423-161620-1a017b	20260424-010527-4d0f17
020_建元以来侯者年表	920	3595	2675	2026-04-23 16:54:57	butler/add-chapter-summary: 添加太史公自序综述（2节）	butler/linkify: 事件列表添加wiki链接 (15个)	20260422-213927-2b59b0	20260423-165457-0dc857
公孙臣上书言土德	919	1083	164	2026-04-24 01:32:20	butler/fix-pn: 修正PN格式 + 添加章节关联	H1 REDIRECT → 公孙臣言土德黄龙见（合并）	20260423-164530-0e3941	20260424-013220-bf397b
051_荆燕世家	918	4216	3298	2026-04-23 16:55:04	butler/add-chapter-summary: 添加太史公自序综述（11节）	butler/linkify: 事件列表添加wiki链接 (16个)	20260422-213929-8d8b10	20260423-165504-a013eb
128_龟策列传	917	3654	2737	2026-04-23 16:55:21	butler/add-chapter-summary: 添加太史公自序综述（11节）	butler/linkify: 事件列表添加wiki链接 (9个)	20260422-213934-74ae93	20260423-165521-44a418
崤之战	915	1043	128	2026-04-24 01:49:48	butler/fix-pn: 修正PN格式 + 添加章节关联	REDIRECT：崤之战→崤之战：三帅哭师	20260423-164721-c28f47	20260424-014948-5fb7fc
113_南越列传	911	4436	3525	2026-04-23 16:55:18	butler/add-chapter-summary: 添加太史公自序综述（7节）	butler/linkify: 事件列表添加wiki链接 (20个)	20260422-213933-7d70d6	20260423-165518-8040c3
太公封齐营丘	907	1053	146	2026-04-24 01:47:56	butler/fix-pn: 修正PN格式 + 添加章节关联	REDIRECT：太公封齐营丘→太公封营丘通鱼盐	20260423-164659-da636a	20260424-014756-45521e
104_田叔列传	905	4784	3879	2026-04-23 16:55:16	butler/add-chapter-summary: 添加太史公自序综述（20节）	butler/linkify: 事件列表添加wiki链接 (14个)	20260422-213933-776166	20260423-165516-bd7ac8
陈平专相孝文	904	1040	136	2026-04-24 02:05:24	butler/fix-pn: 修正PN格式 + 添加章节关联	butler/merge: convert to redirect → 陈平专为丞相	20260423-164955-63c7c6	20260424-020524-eca169
司马迁	898	1446	548	2026-04-22 16:32:52	initial import from docs/wiki/pages/	butler/add-tag: 司马迁 补 4 标签	20260422-134346-f1686c	20260422-163252-2ffdf3
117_司马相如列传	896	4162	3266	2026-04-23 16:55:19	butler/add-chapter-summary: 添加太史公自序综述（10节）	butler/linkify: 事件列表添加wiki链接 (15个)	20260422-213934-b7472d	20260423-165519-c3b7b8
卢绾与高祖同日生	896	1050	154	2026-04-24 02:05:45	butler/fix-pn: 修正PN格式 + 添加章节关联	butler/merge: convert to redirect → 卢绾与高祖同里	20260423-164629-2254ff	20260424-020545-774eba
触龙说太后	896	1024	128	2026-04-24 01:22:39	butler/fix-pn: 修正PN格式 + 添加章节关联	H1 REDIRECT → 触龙说赵太后（合并）	20260423-164931-3d4ae0	20260424-012239-b88bdf
123_大宛列传	892	4928	4036	2026-04-23 16:55:20	butler/add-chapter-summary: 添加太史公自序综述（10节）	butler/linkify: 事件列表添加wiki链接 (24个)	20260422-213934-c25074	20260423-165520-6cd741
042_郑世家	889	6879	5990	2026-04-23 16:55:02	butler/add-chapter-summary: 添加太史公自序综述（55节）	butler/linkify: 事件列表添加wiki链接 (22个)	20260422-213928-b9c3a7	20260423-165502-78ef28
平州侯国	888	1678	790	2026-04-23 14:20:17	butler/create-stub: 平州侯国 汉代侯国条目	butler/create-stub: 平州侯国 汉代侯国条目	20260423-141937-56f88f	20260423-142017-aec1c1
成周	888	1329	441	2026-04-24 12:57:17	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 成周	20260424-103904-bbb382	20260424-125717-7a2617
弓高侯国	885	6699	5814	2026-04-23 14:19:55	butler/create-stub: 弓高侯国 汉代侯国条目（批量导入）	butler/create-stub: 弓高侯国 汉代侯国条目	20260423-140118-2c0e71	20260423-141955-484f87
049_外戚世家	884	4652	3768	2026-04-23 16:55:04	butler/add-chapter-summary: 添加太史公自序综述（19节）	butler/linkify: 事件列表添加wiki链接 (14个)	20260422-213929-c60a92	20260423-165504-146ca8
072_穰侯列传	884	3719	2835	2026-04-23 16:55:09	butler/add-chapter-summary: 添加太史公自序综述（7节）	butler/linkify: 事件列表添加wiki链接 (14个)	20260422-213930-d7c858	20260423-165509-e4c8b0
安平侯国	883	4067	3184	2026-04-23 14:20:20	butler/create-stub: 安平侯国 汉代侯国条目	butler/create-stub: 安平侯国 汉代侯国条目	20260423-141922-9e2866	20260423-142020-d89b24
032_齐太公世家	882	6349	5467	2026-04-23 15:10:02	butler/add-chapter-summary: 添加太史公自序综述（13节）	butler/fix-broken-link: L39 [[桓公]]→[[齐桓公|桓公]]（本章主角明确）	20260422-213928-d4da7e	20260423-151002-a93fcf
卫青取河南地	882	1034	152	2026-04-24 01:30:49	butler/fix-pn: 修正PN格式 + 添加章节关联	H1 REDIRECT → 卫青取河南地筑朔方（合并）	20260423-164635-81c815	20260424-013049-2617ef
辟阳侯国	882	10995	10113	2026-04-23 14:19:21	butler/create-stub: 辟阳侯国 汉代侯国条目（批量导入）	butler/create-stub: 辟阳侯国 汉代侯国条目	20260423-140058-e843f0	20260423-141921-b0d809
陈豨反叛自立代王	881	1037	156	2026-04-24 00:50:16	butler/fix-pn: 修正PN格式 + 添加章节关联	H1 merge: 陈豨反叛 REDIRECT → 陈豨反叛自立为王	20260423-164959-6c37b4	20260424-005016-643ccf
084_屈原贾生列传	876	4756	3880	2026-04-23 16:55:11	butler/add-chapter-summary: 添加太史公自序综述（17节）	butler/linkify: 事件列表添加wiki链接 (16个)	20260422-213931-8c604b	20260423-165511-5601db
129_货殖列传	876	4557	3681	2026-04-23 16:55:21	butler/add-chapter-summary: 添加太史公自序综述（14节）	butler/linkify: 事件列表添加wiki链接 (16个)	20260422-213934-c34cde	20260423-165521-1ac7f7
昭王南巡不返	876	1048	172	2026-04-24 01:54:50	butler/fix-pn: 修正PN格式 + 添加章节关联	butler/merge: convert to redirect → 昭王南巡不返、穆王征犬戎	20260423-164751-ef8192	20260424-015450-078a7b
037_卫康叔世家	871	6864	5993	2026-04-23 16:55:01	butler/add-chapter-summary: 添加太史公自序综述（29节）	butler/linkify: 事件列表添加wiki链接 (21个)	20260422-213928-8ab88f	20260423-165501-f6dd04
103_万石张叔列传	871	5971	5100	2026-04-23 16:55:16	butler/add-chapter-summary: 添加太史公自序综述（33节）	butler/linkify: 事件列表添加wiki链接 (18个)	20260422-213933-67a680	20260423-165516-3bc31a
126_滑稽列传	871	4273	3402	2026-04-23 16:55:21	butler/add-chapter-summary: 添加太史公自序综述（12节）	butler/linkify: 事件列表添加wiki链接 (14个)	20260422-213934-dc9c94	20260423-165521-d4055f
魏豹叛汉	871	997	126	2026-04-24 01:31:20	butler/add-pn: 补全PN+元数据 (paragraph_refs, event_type)	H1 REDIRECT → 魏豹叛汉被杀（合并）	20260423-161615-d6741e	20260424-013120-684a20
116_西南夷列传	870	3693	2823	2026-04-23 16:55:18	butler/add-chapter-summary: 添加太史公自序综述（6节）	butler/linkify: 事件列表添加wiki链接 (15个)	20260422-213934-cad320	20260423-165518-61a7eb
027_天官书	869	5357	4488	2026-04-23 16:54:59	butler/add-chapter-summary: 添加太史公自序综述（22节）	butler/linkify: 事件列表添加wiki链接 (19个)	20260422-213927-bf411a	20260423-165459-60f452
014_十二诸侯年表	867	4297	3430	2026-04-23 16:54:56	butler/add-chapter-summary: 添加太史公自序综述（3节）	butler/linkify: 事件列表添加wiki链接 (24个)	20260422-213926-f6615a	20260423-165456-4cbe33
115_朝鲜列传	865	3659	2794	2026-04-23 16:55:18	butler/add-chapter-summary: 添加太史公自序综述（6节）	butler/linkify: 事件列表添加wiki链接 (14个)	20260422-213933-07d5db	20260423-165518-a83a55
098_傅靳蒯成列传	864	3394	2530	2026-04-23 16:55:14	butler/add-chapter-summary: 添加太史公自序综述（4节）	butler/linkify: 事件列表添加wiki链接 (12个)	20260422-213932-d8655e	20260423-165514-525efe
臧马侯国	864	6973	6109	2026-04-23 14:20:14	butler/create-stub: 臧马侯国 汉代侯国条目（批量导入）	butler/create-stub: 臧马侯国 汉代侯国条目	20260423-140212-1015a0	20260423-142014-4fe13a
118_淮南衡山列传	863	5304	4441	2026-04-23 16:55:19	butler/add-chapter-summary: 添加太史公自序综述（11节）	butler/linkify: 事件列表添加wiki链接 (25个)	20260422-213934-f9fdd7	20260423-165519-a5289c
唐叔虞受封	862	1004	142	2026-04-24 02:09:25	butler/fix-pn: 修正PN格式 + 添加章节关联	butler/merge: convert to redirect → 唐叔虞与桐叶封弟	20260423-164652-eb936f	20260424-020925-d3e355
071_樗里子甘茂列传	858	4931	4073	2026-04-23 16:55:08	butler/add-chapter-summary: 添加太史公自序综述（12节）	butler/linkify: 事件列表添加wiki链接 (21个)	20260422-213930-1d84b5	20260423-165508-a54f1a
武帝即位	858	998	140	2026-04-24 01:38:02	butler/fix-pn: 修正PN格式 + 添加章节关联	REDIRECT：武帝即位→武帝即位、奉祀诸神（孝武本纪同事件）	20260423-164817-e64c20	20260424-013802-9c48b2
缇萦	857	1510	653	2026-04-23 07:09:39	butler/ontology-import: 缇萦	新建stub：淳于意少女，上书赎父，文帝废肉刑	20260423-100000-6f98e9	20260423-070939-0615d3
036_陈杞世家	854	4770	3916	2026-04-23 16:55:01	butler/add-chapter-summary: 添加太史公自序综述（18节）	butler/linkify: 事件列表添加wiki链接 (13个)	20260422-213928-adcf43	20260423-165501-0276ce
050_楚元王世家	854	3374	2520	2026-04-23 16:55:04	butler/add-chapter-summary: 添加太史公自序综述（9节）	butler/linkify: 事件列表添加wiki链接 (8个)	20260422-213929-24ddc4	20260423-165504-ebb7ba
108_韩长孺列传	854	4219	3365	2026-04-23 16:55:17	butler/add-chapter-summary: 添加太史公自序综述（16节）	butler/linkify: 事件列表添加wiki链接 (11个)	20260422-213933-d9ff8c	20260423-165517-35dafd
安国侯国	852	10208	9356	2026-04-23 14:19:20	butler/create-stub: 安国侯国 汉代侯国条目（批量导入）	butler/create-stub: 安国侯国 汉代侯国条目	20260423-140055-e1c719	20260423-141920-77d4cd
105_扁鹊仓公列传	849	7387	6538	2026-04-23 16:55:16	butler/add-chapter-summary: 添加太史公自序综述（49节）	butler/linkify: 事件列表添加wiki链接 (14个)	20260422-213933-325ea6	20260423-165516-dbf408
吴起杀妻求将破齐	849	1027	178	2026-04-24 02:09:25	butler/fix-pn: 修正PN格式 + 添加章节关联	butler/merge: convert to redirect → 吴起杀妻求将、母死不归	20260423-164646-40eeba	20260424-020925-051bd8
052_齐悼惠王世家	848	5935	5087	2026-04-23 16:55:04	butler/add-chapter-summary: 添加太史公自序综述（20节）	butler/linkify: 事件列表添加wiki链接 (27个)	20260422-213929-4ee029	20260423-165504-ed90ee
舜荐禹于天	843	965	122	2026-04-24 01:40:54	butler/fix-pn: 修正PN格式 + 添加章节关联	REDIRECT：舜荐禹于天→舜荐禹为嗣	20260423-164917-7c25ef	20260424-014054-2dfee4
华阳之战	842	968	126	2026-04-24 00:51:59	butler/fix-pn: 修正PN格式 + 添加章节关联	H1 merge: 华阳之战 REDIRECT → 华阳之战破芒卯（加韩世家外交视角）	20260423-164620-054d8a	20260424-005159-1dff29
司马季主卜于长安东市	841	999	158	2026-04-24 01:27:07	butler/fix-pn: 修正PN格式 + 添加章节关联	H1 REDIRECT → 司马季主坐市（合并）	20260423-164640-7de5dd	20260424-012707-a4a696
074_孟子荀卿列传	840	3746	2906	2026-04-23 16:55:09	butler/add-chapter-summary: 添加太史公自序综述（9节）	butler/linkify: 事件列表添加wiki链接 (11个)	20260422-213931-0a2ce6	20260423-165509-75970a
102_张释之冯唐列传	837	4384	3547	2026-04-23 16:55:15	butler/add-chapter-summary: 添加太史公自序综述（18节）	butler/linkify: 事件列表添加wiki链接 (12个)	20260422-213933-ba3ec9	20260423-165515-f98b7a
039_晋世家	835	15165	14330	2026-04-23 15:27:26	butler/add-chapter-summary: 添加太史公自序综述（109节）	fix-broken-link: [[武公]] → [[晋武公|武公]]（晋世家人物列表）	20260422-213928-9f1266	20260423-152726-b8e91a
038_宋微子世家	832	6530	5698	2026-04-23 16:55:01	butler/add-chapter-summary: 添加太史公自序综述（30节）	butler/linkify: 事件列表添加wiki链接 (19个)	20260422-213928-49e244	20260423-165501-075a36
086_刺客列传	830	6528	5698	2026-04-23 16:55:12	butler/add-chapter-summary: 添加太史公自序综述（40节）	butler/linkify: 事件列表添加wiki链接 (18个)	20260422-213931-af1f8b	20260423-165512-ef6832
二世皇帝	830	1371	541	2026-04-22 16:50:57	initial import from docs/wiki/pages/	butler/add-tag: 二世皇帝	20260422-134346-83b4f9	20260422-165057-7aee48
秦缪公	830	1346	516	2026-04-22 08:08:00	initial import from docs/wiki/pages/	butler/create-stub: 秦缪公 P1 queue #9, refs=76/28	20260422-160531-142333	20260422-080800-fed903
077_魏公子列传	824	4073	3249	2026-04-23 16:55:10	butler/add-chapter-summary: 添加太史公自序综述（8节）	butler/linkify: 事件列表添加wiki链接 (15个)	20260422-213931-15d6f9	20260423-165510-7ffdc2
李斯	824	1368	544	2026-04-22 08:17:00	initial import from docs/wiki/pages/	butler/create-stub: 李斯 P1 queue, refs=64/12	20260422-161019-bd3c6b	20260422-081700-a42d90
白起赐死	823	931	108	2026-04-24 00:34:30	butler/fix-pn: 修正PN格式 + 添加章节关联	H1融合：改为REDIRECT→白起之死	20260423-164851-78b778	20260424-003430-32e528
厓	822	1427	605	2026-04-24 12:57:49	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 厓	20260424-103844-5c1ef8	20260424-125749-73472f
017_汉兴以来诸侯王年表	820	4124	3304	2026-04-23 16:54:57	butler/add-chapter-summary: 添加太史公自序综述（7节）	butler/linkify: 事件列表添加wiki链接 (19个)	20260422-213927-399520	20260423-165457-050330
聂政刺杀侠累	820	950	130	2026-04-24 02:02:04	butler/fix-pn: 修正PN格式 + 添加章节关联	butler/merge: convert to redirect → 聂政刺侠累	20260423-164914-352cf7	20260424-020204-07dd10
越伐吴虏太子友	820	960	140	2026-04-24 01:38:01	butler/fix-pn: 修正PN格式 + 添加章节关联	REDIRECT：越伐吴虏太子友→越伐吴败太子（同事件，吴太伯世家视角）	20260423-164942-a7ef93	20260424-013801-92a096
魏其侯国	820	7059	6239	2026-04-23 14:19:17	butler/create-stub: 魏其侯国 汉代侯国条目（批量导入）	butler/create-stub: 魏其侯国 汉代侯国条目	20260423-140155-ef9e04	20260423-141917-262ac1
122_酷吏列传	816	5242	4426	2026-04-23 16:55:20	butler/add-chapter-summary: 添加太史公自序综述（14节）	butler/linkify: 事件列表添加wiki链接 (23个)	20260422-213934-49a2ee	20260423-165520-bb0881
伍被	816	1490	674	2026-04-23 07:01:03	butler/ontology-import: 伍被	新建stub：淮南王谋士，与严助同案被张汤争诛	20260423-100000-70ef9f	20260423-070103-ffe295
汝南	815	2306	1491	2026-04-24 12:57:19	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 汝南	20260424-103918-aa4ab5	20260424-125719-e13bec
034_燕召公世家	814	5583	4769	2026-04-23 15:09:36	butler/add-chapter-summary: 添加太史公自序综述（24节）	butler/fix-broken-link: L51 [[桓公]]→[[齐桓公|桓公]]（燕庄公时期明确为齐桓公）	20260422-213928-9c0932	20260423-150936-fddf2f
099_刘敬叔孙通列传	809	3950	3141	2026-04-23 16:55:15	butler/add-chapter-summary: 添加太史公自序综述（8节）	butler/linkify: 事件列表添加wiki链接 (14个)	20260422-213932-5fbf9b	20260423-165515-565975
121_儒林列传	808	4872	4064	2026-04-23 16:55:19	butler/add-chapter-summary: 添加太史公自序综述（10节）	butler/linkify: 事件列表添加wiki链接 (23个)	20260422-213934-ef6ea0	20260423-165519-f09318
乐成侯国	803	2649	1846	2026-04-23 14:20:21	butler/create-stub: 乐成侯国 汉代侯国条目	butler/create-stub: 乐成侯国 汉代侯国条目	20260423-141921-a2188a	20260423-142021-9d77fd
立后土祠于汾阴	801	941	140	2026-04-24 01:34:20	butler/fix-pn: 修正PN格式 + 添加章节关联	H1 REDIRECT → 立后土祠汾阴（合并）	20260423-164907-33b2e8	20260424-013420-a22b53
033_鲁周公世家	800	6906	6106	2026-04-23 16:55:00	butler/add-chapter-summary: 添加太史公自序综述（26节）	butler/linkify: 事件列表添加wiki链接 (30个)	20260422-213928-40bd14	20260423-165500-f1d11e
贾谊为梁怀王傅毒恨死	800	988	188	2026-04-24 01:38:57	butler/fix-pn: 修正PN格式 + 添加章节关联	REDIRECT：贾谊为梁怀王傅毒恨死→贾谊为梁太傅、怀王堕马（日者列传+屈原贾生列传合并）	20260423-164937-87acc5	20260424-013857-aa0bac
070_张仪列传	798	4929	4131	2026-04-23 16:55:08	butler/add-chapter-summary: 添加太史公自序综述（9节）	butler/linkify: 事件列表添加wiki链接 (26个)	20260422-213930-b1c360	20260423-165508-e8b8aa
094_田儋列传	798	4074	3276	2026-04-23 16:55:14	butler/add-chapter-summary: 添加太史公自序综述（7节）	butler/linkify: 事件列表添加wiki链接 (17个)	20260422-213932-f593a0	20260423-165514-d88578
101_袁盎晁错列传	797	5834	5037	2026-04-23 16:55:15	butler/add-chapter-summary: 添加太史公自序综述（34节）	butler/linkify: 事件列表添加wiki链接 (21个)	20260422-213932-d19600	20260423-165515-228750
106_吴王濞列传	797	4999	4202	2026-04-23 16:55:16	butler/add-chapter-summary: 添加太史公自序综述（21节）	butler/linkify: 事件列表添加wiki链接 (16个)	20260422-213933-17435c	20260423-165516-6ab00b
089_张耳陈馀列传	794	4996	4202	2026-04-23 16:55:12	butler/add-chapter-summary: 添加太史公自序综述（11节）	butler/linkify: 事件列表添加wiki链接 (23个)	20260422-213932-61c38d	20260423-165512-cc21aa
陈胜吴广起义	794	948	154	2026-04-24 02:09:26	butler/fix-pn: 修正PN格式 + 添加章节关联	butler/merge: convert to redirect → 陈胜吴广起义、秦亡	20260423-164959-dd7253	20260424-020926-a395fe
蒙恬北击匈奴	793	947	154	2026-04-24 02:09:25	butler/fix-pn: 修正PN格式 + 添加章节关联	butler/merge: convert to redirect → 蒙恬北逐匈奴筑长城	20260423-164924-f83ab8	20260424-020925-b4f3cd
立楚怀王	792	914	122	2026-04-24 02:14:53	butler/fix-pn: 修正PN格式 + 添加章节关联	R919 redirect → 立楚怀王孙心	20260423-164908-eaaccc	20260424-021453-584b9a
041_越王句践世家	788	6036	5248	2026-04-23 16:55:02	butler/add-chapter-summary: 添加太史公自序综述（40节）	butler/linkify: 事件列表添加wiki链接 (21个)	20260422-213928-e46582	20260423-165502-c11b2d
075_孟尝君列传	787	4818	4031	2026-04-23 16:55:09	butler/add-chapter-summary: 添加太史公自序综述（12节）	butler/linkify: 事件列表添加wiki链接 (19个)	20260422-213931-f2763e	20260423-165509-0ab0c0
018_高祖功臣侯者年表	786	4362	3576	2026-04-23 16:54:57	butler/add-chapter-summary: 添加太史公自序综述（7节）	butler/linkify: 事件列表添加wiki链接 (20个)	20260422-213927-1d3e80	20260423-165457-168a4a
柯地之盟管仲归齐	781	939	158	2026-04-24 01:47:56	butler/fix-pn: 修正PN格式 + 添加章节关联	REDIRECT：柯地之盟管仲归齐→柯地之盟曹沬劫齐	20260423-164807-7f4397	20260424-014756-4f3126
桓公伐楚责贡	780	922	142	2026-04-24 02:00:38	butler/fix-pn: 修正PN格式 + 添加章节关联	butler/merge: convert to redirect → 桓公伐楚至召陵	20260423-164808-7a1983	20260424-020038-11c73a
029_河渠书	779	4638	3859	2026-04-23 16:54:59	butler/add-chapter-summary: 添加太史公自序综述（15节）	butler/linkify: 事件列表添加wiki链接 (18个)	20260422-213927-204377	20260423-165459-4f0127
灭南越始用乐舞郊祀	778	934	156	2026-04-24 00:55:46	butler/fix-pn: 修正PN格式 + 添加章节关联	H1 merge: 灭南越始用乐舞郊祀 REDIRECT → 灭南越兴郊乐舞	20260423-164834-3b3b20	20260424-005546-27777a
黥布反叛	777	901	124	2026-04-24 02:00:39	butler/add-pn: 补全PN+元数据 (paragraph_refs, event_type)	butler/merge: convert to redirect → 黥布反叛平定	20260423-161630-81d57a	20260424-020039-5beb86
109_李将军列传	774	4710	3936	2026-04-23 16:55:17	butler/add-chapter-summary: 添加太史公自序综述（17节）	butler/linkify: 事件列表添加wiki链接 (16个)	20260422-213933-e4a125	20260423-165517-2f8051
068_商君列传	773	3916	3143	2026-04-23 16:55:08	butler/add-chapter-summary: 添加太史公自序综述（7节）	butler/linkify: 事件列表添加wiki链接 (17个)	20260422-213930-3308ed	20260423-165508-5fe0bd
085_吕不韦列传	773	4542	3769	2026-04-23 16:55:12	butler/add-chapter-summary: 添加太史公自序综述（17节）	butler/linkify: 事件列表添加wiki链接 (13个)	20260422-213931-d624ff	20260423-165512-e26d14
054_曹相国世家	772	3740	2968	2026-04-23 16:55:05	butler/add-chapter-summary: 添加太史公自序综述（5节）	butler/linkify: 事件列表添加wiki链接 (17个)	20260422-213929-42df05	20260423-165505-f35b22
